10330;1034F;Gothic
10350;1037F;Old Permic
10380;1039F;Ugaritic
103A0;103DF;Old Persian
10400;1044F;Deseret
10450;1047F;Shavian
10480;104AF;Osmanya
10500;1052F;Elbasan
10530;1056F;Caucasian Albanian
10600;1077F;Linear A
10800;1083F;Cypriot Syllabary
10840;1085F;Imperial Aramaic
10860;1087F;Palmyrene
10880;108AF;Nabataean
108E0;108FF;Hatran
10900;1091F;Phoenician
10920;1093F;Lydian
10980;1099F;Meroitic Hieroglyphs
109A0;109FF;Meroitic Cursive
10A00;10A5F;Kharoshthi
10A60;10A7F;Old South Arabian
10A80;10A9F;Old North Arabian
10AC0;10AFF;Manichaean
10B00;10B3F;Avestan
10B40;10B5F;Inscriptional Parthian
10B60;10B7F;Inscriptional Pahlavi
10B80;10BAF;Psalter Pahlavi
10C00;10C4F;Old Turkic
10C80;10CFF;Old Hungarian
10E60;10E7F;Rumi Numeral Symbols
11000;1107F;Brahmi
11080;110CF;Kaithi
110D0;110FF;Sora Sompeng
11100;1114F;Chakma
11150;1117F;Mahajani
11180;111DF;Sharada
111E0;111FF;Sinhala Archaic Numbers
11200;1124F;Khojki
11280;112AF;Multani
112B0;112FF;Khudawadi
11300;1137F;Grantha
11480;114DF;Tirhuta
11580;115FF;Siddham
11600;1165F;Modi
11680;116CF;Takri
11700;1173F;Ahom
118A0;118FF;Warang Citi
11AC0;11AFF;Pau Cin Hau
12000;123FF;Cuneiform
12400;1247F;Cuneiform Numbers and Punctuation
12480;1254F;Early Dynastic Cuneiform
13000;1342F;Egyptian Hieroglyphs
14400;1467F;Anatolian Hieroglyphs
16800;16A3F;Bamum Supplement
16A40;16A6F;Mro
16AD0;16AFF;Bassa Vah
16B00;16B8F;Pahawh Hmong
16F00;16F9F;Miao
1B000;1B0FF;Kana Supplement
1BC00;1BC9F;Duployan
1BCA0;1BCAF;Shorthand Format Controls
1D000;1D0FF;Byzantine Musical Symbols
1D100;1D1FF;Musical Symbols
1D200;1D24F;Ancient Greek Musical Notation
1D300;1D35F;Tai Xuan Jing Symbols
1D360;1D37F;Counting Rod Numerals
1D400;1D7FF;Mathematical Alphanumeric Symbols
1D800;1DAAF;Sutton SignWriting
1E800;1E8DF;Mende Kikakui
1EE00;1EEFF;Arabic Mathematical Alphabetic Symbols
1F000;1F02F;Mahjong Tiles
1F030;1F09F;Domino Tiles
1F0A0;1F0FF;Playing Cards
1F100;1F1FF;Enclosed Alphanumeric Supplement
1F200;1F2FF;Enclosed Ideographic Supplement
1F300;1F5FF;Miscellaneous Symbols and Pictographs
1F600;1F64F;Emoticons (Emoji)
1F650;1F67F;Ornamental Dingbats
1F680;1F6FF;Transport and Map Symbols
1F700;1F77F;Alchemical Symbols
1F780;1F7FF;Geometric Shapes Extended
1F800;1F8FF;Supplemental Arrows-C
1F900;1F9FF;Supplemental Symbols and Pictographs
